,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
24695,coopece01,Cecil,Cooper,1979,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,2,10
15852,musiast01,Stan,Musial,1942,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,2,10
14034,camildo01,Dolph,Camilli,1941,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
32441,kentje01,Jeff,Kent,1998,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,2,10
40144,kipnija01,Jason,Kipnis,2013,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,1,1,10
21131,rosepe01,Pete,Rose,1967,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,10
21132,rosepe02,Pete,Rose,1967,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,10
7043,mageesh01,Sherry,Magee,1913,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,2,10
27367,baineha01,Harold,Baines,1982,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,10
5711,seymocy01,Cy,Seymour,1904,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,2,10
6108,leachto01,Tommy,Leach,1909,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,10
27795,hayesvo01,Von,Hayes,1989,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,2,10
7861,cravaga01,Gavvy,Cravath,1914,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,2,10
38161,fieldpr01,Prince,Fielder,2015,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,2,10
38524,braunry02,Ryan,Braun,2008,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,10
29987,tartada01,Danny,Tartabull,1993,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,2,10
30514,willima06,Matt,Williams,1990,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,10
561,hinespa01,Paul,Hines,1876,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,2,10
41169,bryankr01,Kris,Bryant,2017,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,2,10
23931,evansda01,Darrell,Evans,1974,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,2,10
28252,hrbekke01,Kent,Hrbek,1988,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,2,10
